hour,A10,A100-SXM4-80GB,GPU-series-1,H800,GPU-series-2,A800-SXM4-80GB
57,3726.5399999999995,2172.5,764.0,248.0,772.0,50.0
58,3606.5399999999995,2173.5,766.0,424.0,771.0,50.0
59,3662.5399999999995,2192.5,764.0,1688.0,779.0,50.0
60,3738.5399999999995,2225.5,764.0,2144.0,811.0,18.0
61,3737.5399999999995,2264.5,764.0,1400.0,756.0,18.0
62,3785.5399999999995,2278.5,765.0,1400.0,755.0,18.0
63,3782.5399999999995,2273.5,765.0,1400.0,755.0,34.0
64,3761.5399999999995,2336.5,764.0,1448.0,757.0,34.0
65,3680.5399999999995,2280.5,764.0,1456.0,759.0,34.0
66,3821.5399999999995,2245.5,764.0,1400.0,839.0,34.0
67,3881.0399999999995,2253.5,764.0,1400.0,848.0,34.0
68,3799.0399999999995,2297.5,764.0,1400.0,840.0,34.0
69,3885.0399999999995,2346.5,764.0,1400.0,844.0,74.0
70,3834.0399999999995,2414.5,764.0,1560.0,839.0,66.0
71,3872.0399999999995,2449.5,764.0,1728.0,839.0,70.0
72,3850.0399999999995,1837.5,749.0,96.0,526.0,34.0
73,3778.0399999999995,1780.5,749.0,96.0,518.0,35.0
74,3717.0399999999995,1813.5,749.0,56.0,514.0,50.0
75,3844.0399999999995,1818.5,749.0,56.0,506.0,42.0
76,3783.0399999999995,1803.5,749.0,64.0,506.0,42.0
77,3757.0399999999995,1796.5,749.0,56.0,506.0,42.0
78,3766.0399999999995,1793.5,749.0,104.0,506.0,42.0
79,3867.0399999999995,1864.5,749.0,56.0,514.0,42.0
80,3895.0399999999995,1867.5,749.0,96.0,514.0,42.0
81,3863.0399999999995,1880.5,749.0,56.0,514.0,42.0
82,3801.0399999999995,2168.5,750.0,112.0,527.0,93.0
83,3750.5399999999995,2593.5,750.0,192.0,535.0,164.0
84,3857.5399999999995,2388.5,751.0,152.0,527.0,107.0
85,3861.5399999999995,2437.5,751.0,176.0,529.0,83.0
86,3761.5399999999995,2847.5,751.0,168.0,559.0,123.0
87,3741.5399999999995,2659.5,751.0,200.0,540.0,139.0
88,3794.5399999999995,2783.5,751.0,184.0,554.0,195.0
89,3781.5399999999995,2781.5,754.0,1664.0,554.0,227.0
90,3867.5399999999995,2681.5,754.0,3024.0,570.0,204.0
