hour,jobs_active,gpus_active_requested,capacity_gpus,demand_capacity_ratio
0,3740.0,6855.640000000003,10412,0.6584364195159434
1,3825.0,6960.640000000003,10412,0.6685209373799466
2,3736.0,5369.640000000003,10412,0.5157164809834809
3,3774.0,5400.640000000003,10412,0.5186938148290438
4,3917.0,5543.640000000003,10412,0.5324279677295432
5,3969.0,5609.640000000003,10412,0.5387668075297737
6,4008.0,5633.640000000003,10412,0.5410718401844029
7,4108.0,5713.640000000003,10412,0.5487552823665005
8,4257.0,5862.640000000003,10412,0.5630656934306573
9,4305.0,5986.640000000003,10412,0.5749750288129085
10,4347.0,6595.640000000003,10412,0.6334652324241263
11,4311.0,6623.640000000003,10412,0.6361544371878605
12,4333.0,6596.640000000003,10412,0.6335612754514025
13,4342.0,6606.640000000003,10412,0.6345217057241647
14,4390.0,6846.640000000003,10412,0.6575720322704575
15,4521.0,7201.640000000003,10412,0.6916673069535154
16,4542.0,7552.640000000003,10412,0.7253784095274686
17,4533.0,7213.640000000003,10412,0.6928198232808301
18,4545.0,7111.540000000003,10412,0.683013830195928
19,4569.0,7225.540000000003,10412,0.6939627353054171
20,4603.0,7178.540000000003,10412,0.6894487130234348
21,4682.0,7161.540000000003,10412,0.687815981559739
22,4704.0,7221.540000000003,10412,0.6935785631963122
23,4774.0,7357.540000000003,10412,0.7066404149058781
24,4653.0,6545.2400000000025,10412,0.6286246638494047
25,4617.0,6476.2400000000025,10412,0.6219976949673456
26,4628.0,6448.2400000000025,10412,0.6193084902036115
27,4685.0,6517.2400000000025,10412,0.6259354590856706
28,4632.0,6461.2400000000025,10412,0.6205570495582023
29,4682.0,6511.2400000000025,10412,0.6253592009220132
30,4701.0,6527.2400000000025,10412,0.6268958893584328
31,4795.0,6637.2400000000025,10412,0.637460622358817
32,4948.0,6805.2400000000025,10412,0.6535958509412219
33,4971.0,6848.2400000000025,10412,0.6577257011140993
34,4973.0,6872.2400000000025,10412,0.6600307337687287
35,5024.0,7134.540000000003,10412,0.685222819823281
36,5033.0,7219.540000000003,10412,0.6933864771417597
37,5119.0,7270.540000000003,10412,0.698284671532847
38,5048.0,7427.540000000003,10412,0.7133634268152135
39,5157.0,7804.540000000003,10412,0.7495716480983483
40,5198.0,7764.540000000003,10412,0.7457299270072996
41,5073.0,7648.540000000003,10412,0.734588935843258
42,5077.0,7667.540000000003,10412,0.7364137533615062
43,5169.0,7553.540000000003,10412,0.7254648482520172
44,5102.0,7530.540000000003,10412,0.7232558586246641
45,5198.0,7636.540000000003,10412,0.7334364195159434
46,5261.0,7676.540000000003,10412,0.7372781406069921
47,5333.0,7797.540000000003,10412,0.7488993469074148
48,5177.0,7389.640000000003,10412,0.7097233960814447
49,5071.0,7344.040000000003,10412,0.7053438340376491
50,5074.0,7220.040000000003,10412,0.6934344986553979
51,5079.0,7218.040000000003,10412,0.6932424126008454
52,5061.0,7208.040000000003,10412,0.6922819823280832
53,5072.0,7219.040000000003,10412,0.6933384556281217
54,5078.0,7268.040000000003,10412,0.6980445639646564
55,5151.0,7432.040000000003,10412,0.7137956204379564
56,5261.0,7617.040000000003,10412,0.7315635804840571
57,5331.0,7733.040000000003,10412,0.7427045716480986
58,5225.0,7791.040000000003,10412,0.7482750672301194
59,5271.0,9136.040000000003,10412,0.8774529389166349
60,5389.0,9701.040000000003,10412,0.9317172493276991
61,5335.0,8940.040000000003,10412,0.8586285055704959
62,5383.0,9002.040000000003,10412,0.8645831732616215
63,5383.0,9010.040000000003,10412,0.8653515174798312
64,5368.0,9101.040000000003,10412,0.8740914329619672
65,5285.0,8974.040000000003,10412,0.8618939684978874
