submit_day,A10,A100-SXM4-80GB,A800-SXM4-80GB,GPU-series-1,GPU-series-2,H800
0,63.63321988657036,12.112719451946159,0.7608358322811448,33.52072530368944,2.091982392228294,0.07449385887028581
1,5.315929955504322,0.3047331298493227,0.39728732638888886,0.2689553840987971,0.7783691821303886,0.011767979452054794
2,3.394475393722712,0.08739319433727709,0.2876886705597643,0.12232854324157276,0.17796401838570128,0.42785805640115
3,3.2934021280703316,1.069169650607639,0.334681844486532,0.17448506513573908,0.018307125645112325,0.18807595552173179
4,3.8268781060656685,0.6471510363082991,2.077767387415825,0.5309578846336709,0.8353182988957195,0.17250589273634365
5,3.377398067398794,1.1000470397698046,0.14183074231902357,1.0263274526933865,0.9875843270909229,0.022046814222898697
6,1.929741782593038,0.6141467167941959,2.1067696496212123,0.15548871862073885,0.47126994630388586,3.2201987146964317
7,2.0062451499339153,0.44087275752314814,0.11604383680555555,0.12612653330480672,1.0162640406800243,0.022474843565026215
8,1.5785351473165226,0.13461991423932612,0.13904671717171718,0.005195994092616365,0.43098349982923495,0.007079422458988669
9,1.4547095719541716,0.3758330721129115,0.05229311342592593,0.027154493831122523,0.005288984232695811,0.01250893159140876
10,1.55363032296029,0.6286933285643862,0.2847981770833333,0.2179694260210146,0.16227428183819065,1.8242967825131067
11,1.6718717115521695,0.7442221240971151,0.2679119975799663,0.5852213857390767,0.5421433026904979,0.8502091789277862
12,1.5993090078224776,0.6822574735832476,1.1106792534722223,0.3609998276517853,0.8070677154485428,2.5340687891087432
13,1.4632238455626836,1.109340661235961,0.1774157591540404,0.3504279361598441,0.7859207318230116,0.25731377103416203
14,3.2399637730089252,1.0227916994866684,0.16580900147306396,0.13033824822897352,0.0864386597791439,1.9983332276340267
15,1.1740725723217202,0.3670314408918467,0.1872688473274411,0.13964367006608663,0.3595958679606861,0.46221482327075936
16,1.2221889729795956,0.24684749148019547,0.2613078046085859,0.00928520063709409,0.595517263869915,0.006282416656096736
17,1.2697129569299652,0.8609468369555898,0.7973632154882155,0.2880947350591927,0.3998260805631451,0.022434836377473365
18,1.3325312866620629,1.2686846681027093,0.09381181607744107,1.4261890986782675,0.4475528778650577,0.8224952237125824
19,1.1253857930329088,1.0211163321705676,0.26548400673400674,0.18203994912756144,0.47036357534532486,0.2862471461187215
20,1.2920967173067213,0.9484334142446845,0.26624125368265994,0.16784423584367422,0.4593165485541894,1.2252734441062068
21,2.403561598762957,0.8049499427994256,0.5743406065867004,0.16539981814291826,0.1753169825819672,0.5103699475731439
22,1.3507631431175562,0.3064417893732853,1.0777145807028619,0.006749037227214378,0.8231062632817243,0.09749645907322849
