submit_day,jobs,hp_jobs,spot_jobs,gpu_seconds,gpu_demand
130,1910,1327,583,653408782.9,11652.1
131,1812,1386,426,763079619.4,34539.5
132,1398,1115,283,549350457.5,29363.0
133,1122,918,204,582916437.9,12010.2
134,771,546,225,449037726.0,12430.5
135,797,600,197,360909379.0,10133.0
136,1812,1403,409,504440084.9,20332.7
137,1424,1097,327,614119751.2,18876.2
138,1633,1321,312,712471288.8,19695.1
139,1951,1626,325,709135389.5,21993.9
140,1401,1103,298,651169884.8,15476.8
141,1599,1483,116,382584088.8,13261.7
142,1441,1353,88,224615125.1,7256.2
143,2313,1933,380,625676809.0,13286.5
144,3153,2724,429,990130171.5,14549.6
145,2094,1750,344,494310618.0,11730.2
146,1657,1340,317,749964763.7,14219.8
147,1483,1098,385,570087820.8,14849.9
148,851,663,188,658922023.7,7780.9
149,799,674,125,251472828.5,6046.0
150,1629,1307,322,552029874.8,8160.5
151,2011,1707,304,443981163.0,16420.3
152,2584,1853,731,378033659.1,15778.2
153,1757,1514,243,763053732.5,20541.9
154,1754,1457,297,857021477.0,15791.7
155,1316,1172,144,269875542.3,5268.6
156,1289,912,377,336559590.1,15804.4
157,1935,1394,541,504844811.0,16763.1
158,2487,1985,502,729166629.9,16090.5
159,2221,1687,534,425919576.5,12043.5
160,2119,1648,471,384688337.0,17496.3
161,1722,1328,394,566548570.9,15920.7
162,1108,829,279,626032042.5,8850.0
163,1088,800,288,115312126.5,6106.0
164,1779,1349,430,359664594.7,11210.7
165,2672,2325,347,436457325.2,16262.7
166,1743,1197,546,607561654.5,12722.6
167,1268,952,316,281705575.5,9263.7
168,1600,1059,541,343853514.5,10253.5
169,1970,876,1094,401797698.6,14470.2
170,1748,1052,696,348924389.2,17901.0
171,2795,1711,1084,568407539.6,15070.2
172,2306,1844,462,667242899.4,12260.2
173,3073,2578,495,382871505.2,10092.4
174,1744,1480,264,307797633.6,8500.3
175,1411,1152,259,378420644.9,7646.4
176,934,791,143,369785718.5,11908.0
177,1057,895,162,365947869.8,7336.9
178,1725,1400,325,298232894.8,16856.0
179,1493,1139,354,355440296.3,17167.9
180,1915,1682,233,413710431.8,16954.1
181,2058,1714,344,274102915.0,14798.5
182,1291,1022,269,200745881.8,11255.1
183,1004,594,410,106634523.0,9837.0
184,23,22,1,103515.0,130.0
